time_s,ref_deg,actual_deg,error_deg,current_A
2.900000000000000147e-02,3.319736842105263513e-02,-7.841809701393131007e-03,4.103917812244577135e-02,1.563499491791598217e+01
2.999999999999999889e-02,3.552631578947368363e-02,-7.918217632583029325e-03,4.344453342205671642e-02,1.568158741087570185e+01
3.099999999999999978e-02,3.793421052631578555e-02,-7.972906373415678677e-03,4.590711689973146770e-02,1.572782298180536387e+01
3.200000000000000067e-02,4.042105263157895478e-02,-8.005289838419357012e-03,4.842634246999830833e-02,1.577371836975999564e+01
3.300000000000000155e-02,4.298684210526316357e-02,-8.014786171096020470e-03,5.100162827635917884e-02,1.581928589093742055e+01
3.400000000000000244e-02,4.563157894736843273e-02,-8.000817626088247564e-03,5.363239657345667682e-02,1.586453473453415697e+01
3.500000000000000333e-02,4.835526315789474838e-02,-7.962810479653456563e-03,5.631807363754819801e-02,1.590947187822133380e+01
3.600000000000000422e-02,5.115789473684211053e-02,-7.900194960167351149e-03,5.905808969700946515e-02,1.595410273489892106e+01
3.699999999999999817e-02,5.403947368421051917e-02,-7.812405192808347110e-03,6.185187887701885934e-02,1.599843160960988442e+01
3.799999999999999906e-02,5.700000000000000205e-02,-7.698879154291325862e-03,6.469887915429133052e-02,1.604246202234069330e+01
3.899999999999999994e-02,6.003947368421052450e-02,-7.559058634731746773e-03,6.759853231894227821e-02,1.608619693607639434e+01
4.000000000000000083e-02,6.315789473684210731e-02,-7.392389204577822642e-03,7.055028394141993342e-02,1.612963891792219329e+01
4.100000000000000172e-02,6.635526315789473661e-02,-7.198320185153752812e-03,7.355358334304849810e-02,1.617279025293941430e+01
4.200000000000000261e-02,6.963157894736843323e-02,-6.976304621784493697e-03,7.660788356915292086e-02,1.621565302457621272e+01
4.300000000000000350e-02,7.298684210526316940e-02,-6.725799258774685027e-03,7.971264136403785616e-02,1.625822917149892888e+01
4.399999999999999745e-02,7.642105263157893125e-02,-6.446264515727675136e-03,8.286731714730660725e-02,1.630052052775146265e+01
4.499999999999999833e-02,7.993421052631577428e-02,-6.137164464841383775e-03,8.607137499115716239e-02,1.634252885113660980e+01
4.599999999999999922e-02,8.352631578947368463e-02,-5.797966808924221761e-03,8.932428259839790552e-02,1.638425584327665163e+01
4.700000000000000011e-02,8.719736842105262065e-02,-5.428142859949517361e-03,9.262551128100214581e-02,1.642570316379571693e+01
4.800000000000000100e-02,9.094736842105263785e-02,-5.027167518020085948e-03,9.597453593907272207e-02,1.646687244034932718e+01
4.900000000000000189e-02,9.477631578947369462e-02,-4.594519250652082457e-03,9.937083504012578228e-02,1.650776527572014984e+01
5.000000000000000278e-02,9.868421052631579093e-02,-4.129680072313846040e-03,1.028138905986296370e-01,1.654838325284110923e+01
5.100000000000000366e-02,1.026710526315789684e-01,-3.632135524174166189e-03,1.063031881557531255e-01,1.658872793835421433e+01
5.200000000000000455e-02,1.067368421052631716e-01,-3.101374654027648937e-03,1.098382167592908132e-01,1.662880088513488630e+01
5.299999999999999850e-02,1.108815789473684144e-01,-2.536889996374207604e-03,1.134184689437426063e-01,1.666860363408542511e+01
5.399999999999999939e-02,1.151052631578947383e-01,-1.938177552636327020e-03,1.170434407105310770e-01,1.670813771541210357e+01
5.500000000000000028e-02,1.194078947368421156e-01,-1.304736771502399426e-03,1.207126315083445062e-01,1.674740464953741181e+01
5.600000000000000117e-02,1.237894736842105325e-01,-6.360705293877532253e-04,1.244255442135982909e-01,1.678640594775453110e+01
5.700000000000000205e-02,1.282500000000000029e-01,6.831488899269496631e-05,1.281816851110073041e-01,1.682514311269964224e+01
5.800000000000000294e-02,1.327894736842105405e-01,8.089098099445727989e-04,1.319805638742659604e-01,1.686361763869549435e+01
5.900000000000000383e-02,1.374078947368421177e-01,1.586201190010216953e-03,1.358216935468319064e-01,1.690183101200400984e+01
5.999999999999999778e-02,1.421052631578947345e-01,2.400672635083293208e-03,1.397045905228114504e-01,1.693978471101453920e+01
6.099999999999999867e-02,1.468815789473683908e-01,3.252804419423716443e-03,1.436287745279446748e-01,1.697748020638665878e+01
6.199999999999999956e-02,1.517368421052631422e-01,4.143073504574302200e-03,1.475937686006888461e-01,1.701491896116077740e+01
6.300000000000000044e-02,1.566710526315789331e-01,5.071953558180276878e-03,1.515990990733986632e-01,1.705210243084597010e+01
6.400000000000000133e-02,1.616842105263158191e-01,6.039914972712600097e-03,1.556442955536032069e-01,1.708903206349169679e+01
6.500000000000000222e-02,1.667763157894736892e-01,7.047424884095860806e-03,1.597288909053778128e-01,1.712570929974806688e+01
6.600000000000000311e-02,1.719473684210526543e-01,8.094947190241450971e-03,1.638524212308112016e-01,1.716213557291798608e+01
6.700000000000000400e-02,1.771973684210526589e-01,9.182942569486608406e-03,1.680144258515660349e-01,1.719831230900352637e+01
6.800000000000000488e-02,1.825263157894737309e-01,1.031186849893989295e-02,1.722144472905338397e-01,1.723424092674816777e+01
6.900000000000000577e-02,1.879342105263158147e-01,1.148217927273361035e-02,1.764520312535822200e-01,1.726992283767608427e+01
7.000000000000000666e-02,1.934210526315789935e-01,1.269432602018367301e-02,1.807267266113953275e-01,1.730535944612930876e+01
7.100000000000000755e-02,1.989868421052631842e-01,1.394875672385736780e-02,1.850380853814058146e-01,1.734055214930333833e+01
7.200000000000000844e-02,2.046315789473684421e-01,1.524591623754949742e-02,1.893856627098189360e-01,1.737550233728161331e+01
7.299999999999999545e-02,2.103552631578947119e-01,1.658624630416731874e-02,1.937690168537273827e-01,1.741021139306916865e+01
7.399999999999999634e-02,2.161578947368420767e-01,1.797018557352472734e-02,1.981877091633173493e-01,1.744468069262562437e+01
7.499999999999999722e-02,2.220394736842105088e-01,1.939816962004612885e-02,2.026413040641643626e-01,1.747891160489771067e+01
7.599999999999999811e-02,2.280000000000000082e-01,2.087063096038040133e-02,2.071293690396196208e-01,1.751290549185139866e+01
7.699999999999999900e-02,2.340394736842104917e-01,2.238799907092539274e-02,2.116514746132850955e-01,1.754666370850371493e+01
7.799999999999999989e-02,2.401578947368420980e-01,2.395070040526335250e-02,2.162071943315787559e-01,1.758018760295431449e+01
7.900000000000000078e-02,2.463552631578947161e-01,2.555915841150771181e-02,2.207961047463870286e-01,1.761347851641679796e+01
8.000000000000000167e-02,2.526315789473684292e-01,2.721379354956164967e-02,2.254177853978067692e-01,1.764653778324986888e+01
8.100000000000000255e-02,2.589868421052631819e-01,2.891502330828884040e-02,2.300718187969743589e-01,1.767936673098827782e+01
8.200000000000000344e-02,2.654210526315789465e-01,3.066326222259677103e-02,2.347577904089822032e-01,1.771196668037363509e+01
8.300000000000000433e-02,2.719342105263157783e-01,3.245892189043306231e-02,2.394752886358827437e-01,1.774433894538504219e+01
8.400000000000000522e-02,2.785263157894737329e-01,3.430241098969521313e-02,2.442239047997785129e-01,1.777648483326958839e+01
8.500000000000000611e-02,2.851973684210526438e-01,3.619413529505410843e-02,2.490032331259985632e-01,1.780840564457269792e+01
8.600000000000000699e-02,2.919473684210526776e-01,3.813449769469175882e-02,2.538128707263608841e-01,1.784010267316834231e+01
8.700000000000000788e-02,2.987763157894737232e-01,4.012389820695361903e-02,2.586524175825201111e-01,1.787157720628911761e+01
8.799999999999999489e-02,3.056842105263157250e-01,4.216273399691593260e-02,2.635214765293997785e-01,1.790283052455617963e+01
8.899999999999999578e-02,3.126710526315789052e-01,4.425139939286844293e-02,2.684196532387104761e-01,1.793386390200905822e+01
8.999999999999999667e-02,3.197368421052630971e-01,4.639028590271292163e-02,2.733465562025501616e-01,1.796467860613532608e+01
9.099999999999999756e-02,3.268815789473683564e-01,4.857978223027786119e-02,2.783017967170904883e-01,1.799527589790015369e+01
9.199999999999999845e-02,3.341052631578947385e-01,5.082027429154970660e-02,2.832849888663450111e-01,1.802565703177571876e+01
9.299999999999999933e-02,3.414078947368421324e-01,5.311214523082113254e-02,2.882957495060209929e-01,1.805582325577051250e+01
9.400000000000000022e-02,3.487894736842104826e-01,5.545577543675656723e-02,2.933336982474539223e-01,1.808577581145848256e+01
9.500000000000000111e-02,3.562499999999999556e-01,5.785154255837553217e-02,2.983984574416244651e-01,1.811551593400809068e+01
9.600000000000000200e-02,3.637894736842105514e-01,6.029982152095401948e-02,3.034896521632565181e-01,1.814504485221120333e+01
9.700000000000000289e-02,3.714078947368421590e-01,6.280098454184444845e-02,3.086069101949976967e-01,1.817436378851190071e+01
9.800000000000000377e-02,3.791052631578947785e-01,6.535540114621443686e-02,3.137498620116803139e-01,1.820347395903511512e+01
9.900000000000000466e-02,3.868815789473684652e-01,6.796343818270483839e-02,3.189181407646636268e-01,1.823237657361518771e+01
1.000000000000000056e-01,3.947368421052631637e-01,7.062545983900744839e-02,3.241113822662557431e-01,1.826107283582427954e+01
1.010000000000000064e-01,4.026710526315790406e-01,7.334182765736273202e-02,3.293292249742162392e-01,1.828956394300065824e+01
1.020000000000000073e-01,4.106842105263158738e-01,7.611290054997779664e-02,3.345713099763380494e-01,1.831785108627686398e+01
1.030000000000000082e-01,4.187763157894737187e-01,7.893903481436533032e-02,3.398372809751084578e-01,1.834593545060777942e+01
1.040000000000000091e-01,4.269473684210526865e-01,8.182058414860350626e-02,3.451267842724491941e-01,1.837381821479853983e+01
1.049999999999999961e-01,4.351973684210525550e-01,8.475789966651747775e-02,3.504394687545350773e-01,1.840150055153234021e+01
1.059999999999999970e-01,4.435263157894736574e-01,8.775132991278263017e-02,3.557749858766909856e-01,1.842898362739813933e+01
1.069999999999999979e-01,4.519342105263156606e-01,9.080122087795020058e-02,3.611329896483654323e-01,1.845626860291821103e+01
1.079999999999999988e-01,4.604210526315789531e-01,9.390791601339537609e-02,3.665131366181835770e-01,1.848335663257561023e+01
1.089999999999999997e-01,4.689868421052632019e-01,9.707175624618837040e-02,3.719150858590748454e-01,1.851024886484149334e+01
1.100000000000000006e-01,4.776315789473684625e-01,1.002930799938889228e-01,3.773384989534795397e-01,1.853694644220233911e+01
1.110000000000000014e-01,4.863552631578946794e-01,1.035722231792642889e-01,3.827830399786303905e-01,1.856345050118704165e+01
1.120000000000000023e-01,4.951578947368421302e-01,1.069095192449314308e-01,3.882483754919106578e-01,1.858976217239390394e+01
1.130000000000000032e-01,5.040394736842105372e-01,1.103052991679235179e-01,3.937341745162870610e-01,1.861588258051748568e+01
1.140000000000000041e-01,5.130000000000000115e-01,1.137598914741811962e-01,3.992401085258188154e-01,1.864181284437537300e+01
1.150000000000000050e-01,5.220394736842104422e-01,1.172736222529689176e-01,4.047658514312415523e-01,1.866755407693479185e+01
1.160000000000000059e-01,5.311578947368421622e-01,1.208468151712168426e-01,4.103110795656253473e-01,1.869310738533914673e+01
1.170000000000000068e-01,5.403552631578948384e-01,1.244797914877883299e-01,4.158754716701065224e-01,1.871847387093442805e+01
1.180000000000000077e-01,5.496315789473684710e-01,1.281728700676738608e-01,4.214587088796946657e-01,1.874365462929548798e+01
